"path","api_class","with_http_info","request_model","response_model","note","implemented","request_strong","response_strong"
"/v1/out_quest_live/daily/get_release_ticket","IOutQuestLiveDailyApi","OutQuestLiveDailyGetReleaseTicketWithHttpInfo","DailySeriesCommonRequest","DailyGetReleaseTicketResponse","","","",""
"/v1/out_quest_live/daily/get_stage_data","IOutQuestLiveDailyApi","OutQuestLiveDailyGetStageDataWithHttpInfo","DailyGetStageDataRequest","DailyGetStageDataResponse","","","",""
"/v1/out_quest_live/daily/get_stage_list","IOutQuestLiveDailyApi","OutQuestLiveDailyGetStageListWithHttpInfo","DailyGetStageListRequest","DailyGetStageListResponse","","","",""
"/v1/out_quest_live/daily/get_stage_select","IOutQuestLiveDailyApi","OutQuestLiveDailyGetStageSelectWithHttpInfo","","DailyGetStageSelectResponse","","","",""
"/v1/out_quest_live/daily/recovery_challenge_count","IOutQuestLiveDailyApi","OutQuestLiveDailyRecoveryChallengeCountWithHttpInfo","DailyRecoveryChallengeCountRequest","DailyRecoveryChallengeCountResponse","","","",""
"/v1/out_quest_live/daily/set_release","IOutQuestLiveDailyApi","OutQuestLiveDailySetReleaseWithHttpInfo","DailySeriesCommonRequest","DailySetReleaseResponse","","","",""
"/v1/out_quest_live/dream/get_member_select","IOutQuestLiveDreamApi","OutQuestLiveDreamGetMemberSelectWithHttpInfo","","GetMemberSelectResponse","","","",""
"/v1/out_quest_live/dream/get_result","IOutQuestLiveDreamApi","OutQuestLiveDreamGetResultWithHttpInfo","DreamGetResultRequest","DreamGetResultResponse","","","",""
"/v1/out_quest_live/dream/notify_member_release_confirm","IOutQuestLiveDreamApi","OutQuestLiveDreamNotifyMemberReleaseConfirmWithHttpInfo","","json::Value","","","",""
"/v1/out_quest_live/dream/set_card","IOutQuestLiveDreamApi","OutQuestLiveDreamSetCardWithHttpInfo","DreamSetCardRequest","DreamSetCardResponse","","","",""
"/v1/out_quest_live/get_live_setting","IOutQuestLiveApi","OutQuestLiveGetLiveSettingWithHttpInfo","GetLiveSettingRequest","GetLiveSettingResponse","","","",""
"/v1/out_quest_live/get_play_report","IOutQuestLiveApi","OutQuestLiveGetPlayReportWithHttpInfo","GetPlayReportRequest","GetPlayReportResponse","","","",""
"/v1/out_quest_live/get_quest_clear_status_list","IOutQuestLiveApi","OutQuestLiveGetClearStatusListWithHttpInfo","GetQuestClearStatusListRequest","GetQuestClearStatusListResponse","","","",""
"/v1/out_quest_live/get_quest_list","IOutQuestLiveApi","OutQuestLiveGetQuestListWithHttpInfo","","GetQuestListResponse","","","",""
"/v1/out_quest_live/get_quest_top","IOutQuestLiveApi","OutQuestLiveGetQuestTopWithHttpInfo","","GetQuestTopResponse","","","",""
"/v1/out_quest_live/get_result","IOutQuestLiveApi","OutQuestLiveGetResultWithHttpInfo","GetResultRequest","GetResultResponse","","","",""
"/v1/out_quest_live/get_stamina_recovery_info","IOutQuestLiveApi","OutQuestLiveGetStaminaRecoveryInfoWithHttpInfo","","GetStaminaRecoveryInfoResponse","","","",""
"/v1/out_quest_live/grade/get_live_list","IOutQuestLiveGradeApi","OutQuestLiveGradeGetLiveListWithHttpInfo","","GradeGetLiveListResponse","","","",""
"/v1/out_quest_live/grade/get_quest_list","IOutQuestLiveGradeApi","OutQuestLiveGradeGetQuestListWithHttpInfo","","GradeGetQuestListResponse","","","",""
